temperature,humidity,gsr,pulse,label
24.2,57.0,364,1885,rahat
24.2,57.0,95,1878,rahat
24.2,57.0,375,1885,rahat
24.2,57.0,49,1885,rahat
24.2,57.0,243,1881,rahat
24.2,57.0,0,1883,rahat
24.2,57.0,322,1889,rahat
24.2,57.0,8,1887,rahat
24.2,57.0,431,1885,rahat
24.2,57.0,111,1885,rahat
24.2,56.0,317,1883,rahat
24.2,56.0,0,1889,rahat
24.2,56.0,255,1882,rahat
24.2,56.0,0,1883,rahat
24.1,56.0,351,1886,rahat
24.1,56.0,76,2909,rahat
24.1,56.0,623,1791,rahat
24.1,56.0,382,1683,rahat
24.1,56.0,320,2075,rahat
24.1,56.0,0,2256,rahat
24.1,56.0,241,1868,rahat
24.1,56.0,0,1587,rahat
24.1,57.0,430,1713,rahat
24.1,57.0,230,1872,rahat
24.1,57.0,503,1727,rahat
24.1,57.0,212,1833,rahat
24.1,57.0,227,1899,rahat
24.1,57.0,0,1878,rahat
24.1,57.0,279,1889,rahat
24.1,57.0,0,1859,rahat
24.1,57.0,543,1856,rahat
24.1,57.0,176,1882,rahat
24.1,57.0,375,582,rahat
24.1,57.0,0,2102,rahat
24.1,57.0,244,1891,rahat
24.1,57.0,0,0,rahat
24.1,57.0,407,1872,rahat
24.1,57.0,94,1881,rahat
24.1,57.0,342,1888,rahat
24.1,57.0,0,1889,rahat
24.1,57.0,256,1887,rahat
24.1,57.0,0,1892,rahat
24.1,57.0,400,1883,rahat
24.1,57.0,85,1889,rahat
24.1,57.0,348,1875,rahat
24.1,57.0,0,1893,rahat
24.1,57.0,271,1889,rahat
24.1,57.0,0,1895,rahat
24.1,57.0,390,1886,rahat
24.1,57.0,80,1889,rahat
24.1,57.0,311,1891,rahat
24.1,57.0,0,1893,rahat
24.1,57.0,278,1887,rahat
24.1,57.0,0,1889,rahat
24.1,57.0,400,1889,rahat
24.1,57.0,69,1888,rahat
24.1,57.0,303,1885,rahat
24.1,57.0,0,1893,rahat
24.1,57.0,289,1889,rahat
24.1,57.0,0,1894,rahat
24.1,57.0,339,4085,stresli
24.1,57.0,45,4085,stresli
24.1,67.0,331,4090,stresli
24.1,67.0,33,4088,stresli
24.1,69.0,305,4079,stresli
24.1,69.0,0,4069,stresli
24.1,70.0,322,4080,stresli
24.1,70.0,34,4075,stresli
24.1,71.0,356,4075,stresli
24.1,71.0,42,4065,stresli
24.1,72.0,289,4077,stresli
24.1,72.0,0,4077,stresli
24.1,73.0,283,4087,stresli
24.1,73.0,6,4081,stresli
24.1,73.0,347,4075,stresli
24.1,73.0,54,4086,stresli
24.1,74.0,317,4090,stresli
24.1,74.0,18,4082,stresli
24.1,75.0,304,4095,stresli
24.1,75.0,0,4093,stresli
24.1,76.0,337,4082,stresli
24.1,76.0,43,4091,stresli
24.1,77.0,336,4083,stresli
24.1,77.0,33,4086,stresli
24.1,77.0,309,4094,stresli
24.1,77.0,0,4081,stresli
24.1,77.0,314,4081,stresli
24.1,77.0,5,4087,stresli
24.1,78.0,349,4092,stresli
24.1,78.0,53,4085,stresli
24.1,78.0,323,4087,stresli
24.1,78.0,7,4080,stresli
24.1,79.0,314,4082,stresli
24.1,79.0,6,4093,stresli
24.1,80.0,339,4081,stresli
24.1,80.0,44,4087,stresli
24.1,80.0,331,4094,stresli
24.1,80.0,13,4084,stresli
24.1,80.0,306,4095,stresli
24.1,80.0,9,4081,stresli
24.1,81.0,341,4092,stresli
24.1,81.0,42,4087,stresli
24.1,81.0,336,4081,stresli
24.1,81.0,17,4093,stresli
24.1,81.0,309,4094,stresli
24.1,81.0,3,4079,stresli
24.1,81.0,339,4085,stresli
24.1,81.0,50,4087,stresli
24.1,81.0,340,4086,stresli
24.1,81.0,21,4084,stresli
24.1,82.0,283,4094,stresli
24.1,82.0,10,4093,stresli
24.1,82.0,336,4091,stresli
24.1,82.0,39,4089,stresli
24.1,83.0,320,4088,stresli
24.1,83.0,22,4081,stresli
24.1,83.0,288,4087,stresli
24.1,83.0,0,4082,stresli
24.1,83.0,320,4095,stresli
24.1,83.0,29,4087,stresli
25.8,69.0,245,2058,stresli
25.8,69.0,5,2063,stresli
25.8,71.0,303,2074,stresli
25.8,71.0,0,2177,stresli
25.8,73.0,299,2103,stresli
25.8,73.0,0,2102,stresli
25.8,74.0,321,2126,stresli
25.8,74.0,0,2149,stresli
25.9,77.0,269,2129,stresli
25.9,77.0,0,2139,stresli
26.2,79.0,310,2125,stresli
26.2,79.0,0,2127,stresli
26.2,81.0,307,2122,stresli
26.2,81.0,0,2139,stresli
26.2,82.0,278,2143,stresli
26.2,82.0,0,2133,stresli
26.2,83.0,319,2144,stresli
26.2,83.0,2,2162,stresli
26.2,85.0,299,2149,stresli
26.2,85.0,0,2171,stresli
26.2,85.0,286,2176,stresli
26.2,85.0,0,2170,stresli
26.7,86.0,316,2176,stresli
26.7,86.0,0,2171,stresli
26.7,88.0,307,2192,stresli
26.7,88.0,0,2192,stresli
26.7,89.0,283,2187,stresli
26.7,89.0,0,2191,stresli
26.7,90.0,304,2240,stresli
26.7,90.0,0,2276,stresli
26.7,90.0,279,2192,stresli
26.7,90.0,0,2242,stresli
26.7,91.0,291,2225,stresli
26.7,91.0,0,2221,stresli
27.1,92.0,308,2212,stresli
27.1,92.0,0,2131,stresli
27.1,92.0,293,2288,stresli
27.1,92.0,0,2146,stresli
27.1,93.0,274,2240,stresli
27.1,93.0,0,2211,stresli
27.1,93.0,317,2222,stresli
27.1,93.0,0,2211,stresli
27.1,93.0,291,2203,stresli
27.1,93.0,0,2204,stresli
27.1,93.0,304,2202,stresli
27.1,93.0,0,2192,stresli
27.1,93.0,305,2208,stresli
27.1,93.0,9,2193,stresli
27.1,93.0,284,2205,stresli
27.1,93.0,0,2194,stresli
27.6,93.0,295,2192,stresli
27.6,93.0,0,2191,stresli
27.6,94.0,304,2192,stresli
27.6,94.0,6,2193,stresli
27.6,94.0,286,2187,stresli
27.6,94.0,0,2187,stresli
27.6,94.0,304,2188,stresli
27.6,94.0,0,2191,stresli
27.6,94.0,322,2203,stresli
27.6,94.0,0,2198,stresli
24.8,59.0,223,2494,rahat
24.8,59.0,9,2587,rahat
24.9,66.0,281,2559,rahat
24.9,66.0,0,2845,rahat
25.3,67.0,283,2825,rahat
25.3,67.0,1,2849,rahat
25.3,68.0,290,2864,rahat
25.3,68.0,3,2864,rahat
25.3,68.0,291,2880,rahat
25.3,68.0,16,2892,rahat
25.3,68.0,298,2897,rahat
25.3,68.0,7,2912,rahat
25.3,69.0,279,2911,rahat
25.3,69.0,3,2918,rahat
25.3,69.0,285,2930,rahat
25.3,69.0,3,2928,rahat
25.3,69.0,291,2943,rahat
25.3,69.0,13,2941,rahat
25.3,69.0,279,2937,rahat
25.3,69.0,3,2928,rahat
24.9,69.0,284,2919,rahat
24.9,69.0,1,2929,rahat
24.8,70.0,293,2933,rahat
24.8,70.0,6,2933,rahat
24.8,70.0,289,2919,rahat
24.8,70.0,3,2938,rahat
24.8,70.0,278,2953,rahat
24.8,70.0,11,2950,rahat
24.8,71.0,279,2950,rahat
24.8,71.0,3,2947,rahat
24.8,71.0,290,2943,rahat
24.8,71.0,5,2931,rahat
24.8,71.0,290,2922,rahat
24.8,71.0,7,2903,rahat
24.8,71.0,276,2906,rahat
24.8,71.0,0,2905,rahat
24.8,72.0,282,2896,rahat
24.8,72.0,2,2883,rahat
24.8,72.0,290,2875,rahat
24.8,72.0,2,2877,rahat
24.8,72.0,287,2864,rahat
24.8,72.0,0,2875,rahat
24.8,72.0,275,2867,rahat
24.8,72.0,0,2867,rahat
24.8,73.0,288,2861,rahat
24.8,73.0,0,2864,rahat
24.8,73.0,291,2865,rahat
24.8,73.0,11,2868,rahat
24.8,73.0,275,2864,rahat
24.8,73.0,0,2853,rahat
24.8,73.0,272,2938,rahat
24.8,73.0,0,2917,rahat
24.8,73.0,286,2864,rahat
24.8,73.0,9,2887,rahat
24.8,73.0,293,2880,rahat
24.8,73.0,3,2895,rahat
24.8,73.0,287,2883,rahat
24.8,73.0,0,2885,rahat
24.6,73.0,274,2883,rahat
24.6,73.0,2,2880,rahat
24.5,74.0,277,2816,rahat
24.5,74.0,0,2821,rahat
24.5,77.0,289,2821,rahat
24.5,77.0,7,2822,rahat
24.5,77.0,290,2818,rahat
24.5,77.0,11,2799,rahat
24.5,77.0,283,2817,rahat
24.5,77.0,0,2816,rahat
24.5,77.0,285,2815,rahat
24.5,77.0,0,2807,rahat
24.5,77.0,288,2800,rahat
24.5,77.0,1,2800,rahat
24.5,78.0,289,2798,rahat
24.5,78.0,0,2784,rahat
24.5,78.0,279,2795,rahat
24.5,78.0,0,2794,rahat
24.5,78.0,279,2795,rahat
24.5,78.0,0,2793,rahat
24.5,78.0,287,2785,rahat
24.5,78.0,0,2786,rahat
24.5,78.0,288,2783,rahat
24.5,78.0,5,2766,rahat
24.5,78.0,290,2761,rahat
24.5,78.0,0,2768,rahat
24.5,79.0,275,2759,rahat
24.5,79.0,0,2768,rahat
24.5,79.0,287,2768,rahat
24.5,79.0,0,2768,rahat
24.5,79.0,288,2767,rahat
24.5,79.0,0,2767,rahat
24.5,79.0,287,2741,rahat
24.5,79.0,7,2751,rahat
24.5,79.0,282,2754,rahat
24.5,79.0,0,2754,rahat
24.5,79.0,281,2754,rahat
24.5,79.0,0,2749,rahat
24.5,79.0,287,2741,rahat
24.5,79.0,0,2747,rahat
24.5,80.0,292,2736,rahat
24.5,80.0,0,2743,rahat
24.5,80.0,279,2736,rahat
24.5,80.0,0,2735,rahat
24.5,80.0,277,2737,rahat
24.5,80.0,0,2747,rahat
24.5,80.0,282,2737,rahat
24.5,80.0,0,2736,rahat
24.5,80.0,282,2731,rahat
24.5,80.0,0,2736,rahat
24.5,80.0,281,2736,rahat
24.5,80.0,0,2719,rahat
24.5,80.0,272,2699,rahat
24.5,80.0,0,2719,rahat
24.5,80.0,274,2717,rahat
24.5,80.0,0,2711,rahat
24.5,80.0,285,2715,rahat
24.5,80.0,0,2734,rahat
24.5,80.0,278,2731,rahat
24.5,80.0,1,2743,rahat
24.5,80.0,283,2727,rahat
